epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.578,1.42787,1.50672,0.98745,0.36945,0.29536,0.27646,0.16279,1.32662,1.0496,0.93338,0.0033251,0.0033251,0.0033251
2,206.169,1.41443,1.08518,0.95419,0.43781,0.31587,0.3199,0.18606,1.34101,1.01589,0.92535,0.00659252,0.00659252,0.00659252
3,306.125,1.46984,1.09106,0.96082,0.40903,0.31788,0.31175,0.17818,1.37998,1.03735,0.93498,0.00979393,0.00979393,0.00979393
4,405.542,1.46936,1.08075,0.96437,0.41487,0.31466,0.31113,0.18034,1.35991,1.04322,0.93614,0.009703,0.009703,0.009703
5,505.521,1.42752,1.03916,0.95587,0.44118,0.33697,0.33617,0.19886,1.33117,0.97435,0.93011,0.009604,0.009604,0.009604
6,605.232,1.40627,1.01093,0.94888,0.45394,0.33799,0.33825,0.1972,1.32745,0.98895,0.92516,0.009505,0.009505,0.009505
7,704.673,1.38417,0.98613,0.94634,0.45028,0.34929,0.34846,0.20578,1.3063,0.97199,0.92627,0.009406,0.009406,0.009406
8,804.921,1.36102,0.9623,0.93968,0.46715,0.33776,0.34771,0.20383,1.31228,0.95735,0.92511,0.009307,0.009307,0.009307
9,904.479,1.34255,0.94287,0.93613,0.46321,0.353,0.36047,0.21286,1.27722,0.94273,0.91505,0.009208,0.009208,0.009208
10,1004.38,1.33391,0.93336,0.93088,0.4749,0.36093,0.36727,0.21829,1.27328,0.92534,0.91569,0.009109,0.009109,0.009109
11,1104.45,1.31299,0.90795,0.9291,0.49407,0.35557,0.37008,0.21811,1.27319,0.92067,0.91633,0.00901,0.00901,0.00901
12,1194.08,1.30572,0.90551,0.92724,0.48289,0.3698,0.37622,0.22145,1.26388,0.91172,0.91097,0.008911,0.008911,0.008911
13,1247.83,1.29429,0.88692,0.92432,0.49748,0.37418,0.38169,0.22513,1.25909,0.9089,0.91298,0.008812,0.008812,0.008812
14,1347.92,1.27922,0.88264,0.91898,0.4966,0.38945,0.39162,0.23607,1.2412,0.88924,0.90661,0.008713,0.008713,0.008713
15,1447.53,1.28847,0.87776,0.9199,0.50043,0.38598,0.39628,0.23801,1.23579,0.88491,0.90995,0.008614,0.008614,0.008614
16,1547.15,1.27823,0.86733,0.92106,0.51364,0.38346,0.39788,0.23581,1.23133,0.87948,0.90596,0.008515,0.008515,0.008515
17,1646.34,1.26705,0.85652,0.9163,0.49335,0.39608,0.39878,0.23943,1.22788,0.87853,0.90448,0.008416,0.008416,0.008416
18,1745.86,1.2635,0.84975,0.91575,0.54205,0.38383,0.4084,0.24482,1.23129,0.87111,0.90526,0.008317,0.008317,0.008317
19,1847.36,1.25185,0.84307,0.91551,0.51583,0.3787,0.39691,0.23888,1.2244,0.87035,0.90198,0.008218,0.008218,0.008218
20,1946.62,1.2468,0.83628,0.91286,0.51383,0.38296,0.40267,0.24203,1.22523,0.86577,0.90451,0.008119,0.008119,0.008119
21,2046.06,1.23949,0.82814,0.91044,0.52743,0.39473,0.4075,0.24552,1.21913,0.86518,0.90286,0.00802,0.00802,0.00802
22,2148.41,1.23239,0.82286,0.90902,0.51845,0.39976,0.41066,0.24872,1.21322,0.85822,0.9022,0.007921,0.007921,0.007921
23,2247.49,1.22937,0.81649,0.90956,0.51967,0.39685,0.40734,0.24561,1.21038,0.85896,0.90208,0.007822,0.007822,0.007822
24,2346.86,1.2217,0.80825,0.90821,0.5193,0.40348,0.41325,0.24871,1.1967,0.85027,0.89688,0.007723,0.007723,0.007723
25,2448.51,1.21815,0.80065,0.9065,0.5228,0.39486,0.4092,0.24679,1.20743,0.85127,0.89914,0.007624,0.007624,0.007624
26,2547.54,1.22212,0.80407,0.907,0.52635,0.40249,0.41878,0.25332,1.19853,0.84798,0.89473,0.007525,0.007525,0.007525
27,2646.96,1.21359,0.79781,0.90233,0.52899,0.41017,0.42294,0.25606,1.20203,0.84321,0.89499,0.007426,0.007426,0.007426
28,2748.62,1.20874,0.78883,0.90122,0.52718,0.40311,0.42235,0.25429,1.20021,0.84237,0.89567,0.007327,0.007327,0.007327
29,2847.58,1.20223,0.78552,0.90021,0.54596,0.39501,0.42187,0.25774,1.19047,0.83339,0.89652,0.007228,0.007228,0.007228
30,2946.58,1.20123,0.77766,0.89965,0.55863,0.39545,0.42177,0.25522,1.19589,0.84062,0.89516,0.007129,0.007129,0.007129
31,3047.9,1.19216,0.77255,0.89934,0.53757,0.40539,0.42338,0.25634,1.19695,0.84176,0.89505,0.00703,0.00703,0.00703
32,3146.97,1.19395,0.76868,0.89677,0.54695,0.41127,0.43142,0.26128,1.19739,0.8291,0.89442,0.006931,0.006931,0.006931
33,3245.65,1.19187,0.7691,0.89815,0.54252,0.40758,0.4284,0.26139,1.18827,0.82992,0.89399,0.006832,0.006832,0.006832
34,3346.7,1.18777,0.76505,0.89502,0.55424,0.41446,0.43384,0.26453,1.18405,0.82393,0.89308,0.006733,0.006733,0.006733
35,3445.48,1.18163,0.75743,0.89484,0.54234,0.41356,0.43408,0.2642,1.18549,0.82716,0.89528,0.006634,0.006634,0.006634
36,3544.21,1.17617,0.74986,0.89475,0.54526,0.40502,0.43136,0.26344,1.18156,0.82455,0.89265,0.006535,0.006535,0.006535
37,3645.73,1.17268,0.74681,0.89412,0.55417,0.4169,0.43644,0.26555,1.18322,0.82418,0.89239,0.006436,0.006436,0.006436
38,3745.08,1.17471,0.74602,0.89306,0.55779,0.41703,0.44051,0.26827,1.1822,0.8217,0.89155,0.006337,0.006337,0.006337
39,3843.91,1.16512,0.73589,0.89105,0.54805,0.42031,0.44026,0.26721,1.18461,0.82173,0.89298,0.006238,0.006238,0.006238
40,3945.56,1.16329,0.73618,0.89123,0.56116,0.40777,0.43641,0.26723,1.17274,0.8137,0.88834,0.006139,0.006139,0.006139
41,4044.44,1.15596,0.72704,0.89015,0.53969,0.42578,0.4402,0.26922,1.17522,0.81352,0.89181,0.00604,0.00604,0.00604
42,4144.5,1.15442,0.72678,0.89075,0.55288,0.41866,0.44,0.26886,1.17285,0.81473,0.88875,0.005941,0.005941,0.005941
43,4202.17,1.15982,0.72788,0.88937,0.56896,0.4158,0.44242,0.2694,1.17145,0.81242,0.89039,0.005842,0.005842,0.005842
44,4246.18,1.15194,0.72045,0.8879,0.55006,0.42121,0.43945,0.26891,1.16892,0.80464,0.88892,0.005743,0.005743,0.005743
45,4329.57,1.14512,0.71273,0.88724,0.53699,0.42678,0.44061,0.26663,1.17692,0.813,0.89012,0.005644,0.005644,0.005644
46,4424.86,1.14883,0.70855,0.88849,0.55697,0.4187,0.43853,0.2676,1.16491,0.8042,0.88788,0.005545,0.005545,0.005545
47,4521.69,1.14213,0.70773,0.88726,0.55267,0.41894,0.44126,0.26958,1.17303,0.81426,0.88963,0.005446,0.005446,0.005446
48,4618.96,1.14324,0.70736,0.88561,0.56152,0.42763,0.44535,0.27154,1.16727,0.80824,0.88923,0.005347,0.005347,0.005347
49,4713.51,1.13456,0.69848,0.88426,0.55875,0.42903,0.446,0.27245,1.16345,0.80015,0.88731,0.005248,0.005248,0.005248
50,4810.09,1.1326,0.69933,0.88564,0.5775,0.42117,0.44662,0.2712,1.16947,0.80476,0.89105,0.005149,0.005149,0.005149
51,4907.04,1.12867,0.69443,0.88329,0.55796,0.42149,0.4408,0.26992,1.17085,0.80804,0.89019,0.00505,0.00505,0.00505
52,5001.74,1.12607,0.6869,0.88223,0.56751,0.42029,0.44716,0.27349,1.16624,0.80392,0.88774,0.004951,0.004951,0.004951
53,5099.29,1.12799,0.69058,0.88397,0.57123,0.42316,0.44894,0.27413,1.16686,0.80271,0.88954,0.004852,0.004852,0.004852
54,5196.36,1.12372,0.68634,0.88059,0.56076,0.42902,0.44817,0.2739,1.16149,0.80596,0.88798,0.004753,0.004753,0.004753
55,5290.99,1.11682,0.67871,0.8812,0.56981,0.43067,0.45105,0.27474,1.16596,0.80263,0.88926,0.004654,0.004654,0.004654
56,5388.45,1.1196,0.67506,0.87915,0.57305,0.42758,0.44986,0.27549,1.16267,0.8067,0.88762,0.004555,0.004555,0.004555
